FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-01-08|AMS|KL|0879||2024-01-08|D|152538878|160173343,2024-01-08|KL|0879||AMS,ACTIVE,AMS,BLR,106,KG,B,Y,6.0,ULD,AKE95592KL,832.0,57.0,16-2-2024 17:02:55,AFT,41R,L,152538878,160173343,,
2024-01-08|AMS|KL|0879||2024-01-08|D|152538878|160173344,2024-01-08|KL|0879||AMS,ACTIVE,AMS,BLR,597,KG,B,F,33.0,ULD,AKE95592KL,832.0,57.0,16-2-2024 17:02:55,AFT,41R,L,152538878,160173344,,
2024-01-08|AMS|KL|0879||2024-01-08|D|152538878|160173345,2024-01-08|KL|0879||AMS,ACTIVE,AMS,BLR,72,KG,D,,4.0,ULD,AKE95592KL,832.0,57.0,16-2-2024 17:02:55,AFT,41R,L,152538878,160173345,,
2024-01-08|AMS|KL|0879||2024-01-08|D|152544517|160164661,2024-01-08|KL|0879||AMS,ACTIVE,AMS,BLR,1795,KG,C,,,ULD,PMC24605KL,1920.0,125.0,16-2-2024 17:02:55,FWD,11P,L,152544517,160164661,,
2024-01-08|AMS|KL|0879||2024-01-08|D|152544518|160164662,2024-01-08|KL|0879||AMS,ACTIVE,AMS,BLR,2480,KG,C,,,ULD,PMC03397DL,2600.0,120.0,16-2-2024 17:02:55,AFT,42P,L,152544518,160164662,,
2024-01-08|AMS|KL|0879||2024-01-08|D|152544586|160164731,2024-01-08|KL|0879||AMS,ACTIVE,AMS,BLR,0,KG,X,,,ULD,AKE95322KL,57.0,57.0,16-2-2024 17:02:55,FWD,14L,L,152544586,160164731,,
2024-01-08|AMS|KL|0879||2024-01-08|D|152544587|160164732,2024-01-08|KL|0879||AMS,ACTIVE,AMS,BLR,0,KG,X,,,ULD,AKE95685KL,57.0,57.0,16-2-2024 17:02:55,FWD,14R,L,152544587,160164732,,
2024-01-08|AMS|KL|0879||2024-01-08|D|152544588|160164733,2024-01-08|KL|0879||AMS,ACTIVE,AMS,BLR,0,KG,X,,,ULD,AKE98061KL,57.0,57.0,16-2-2024 17:02:55,FWD,15R,L,152544588,160164733,,
2024-01-08|AMS|KL|0879||2024-01-08|D|152544589|160164734,2024-01-08|KL|0879||AMS,ACTIVE,AMS,BLR,0,KG,X,,,ULD,AKE97716KL,57.0,57.0,16-2-2024 17:02:55,FWD,15L,L,152544589,160164734,,
2024-01-08|AMS|KL|0879||2024-01-08|D|152544590|160164735,2024-01-08|KL|0879||AMS,ACTIVE,AMS,BLR,0,KG,X,,,ULD,AKE96974KL,57.0,57.0,16-2-2024 17:02:55,FWD,13R,L,152544590,160164735,,
2024-01-08|AMS|KL|0879||2024-01-08|D|152544591|160164736,2024-01-08|KL|0879||AMS,ACTIVE,AMS,BLR,0,KG,X,,,ULD,AKE97591KL,57.0,57.0,16-2-2024 17:02:55,FWD,13L,L,152544591,160164736,,
