Airline,FlightNumber,LocalDepartureDate,AircraftType,DepartureAirport,SegmentArrivalAirport,CenterOfGravityCabin,PassengerCount
KL,835,2024-03-25,77W,AMS,SIN,CABIN0B,11
KL,835,2024-03-25,77W,AMS,SIN,CABIN0C,18
KL,835,2024-03-25,77W,AMS,SIN,CABIN0G,11
KL,835,2024-03-25,77W,AMS,SIN,CABIN0D,23
KL,835,2024-03-25,77W,AMS,SIN,CABIN0E,27
KL,835,2024-03-25,77W,AMS,SIN,CABIN0A,19
KL,835,2024-03-25,77W,AMS,SIN,CABIN0F,27
