Airline,FlightNumber,LocalDepartureDate,AircraftType,DepartureAirport,SegmentArrivalAirport,CenterOfGravityCabin,PassengerCount
KL,879,12/2/2024,789,AMS,BLR,CABIN0A,30
KL,879,17-3-2024,789,AMS,BLR,CABIN0C,64
KL,879,5/2/2024,789,AMS,BLR,CABIN0C,29
KL,661,22-1-2024,789,AMS,IAH,CABIN0A,27
KL,661,24-1-2024,789,AMS,IAH,CABIN0D,61
KL,661,9/2/2024,789,AMS,IAH,CABIN0D,68
KL,879,11/2/2024,789,AMS,BLR,CABIN0D,65
KL,661,8/1/2024,789,AMS,IAH,CABIN0D,70
KL,661,31-1-2024,789,AMS,IAH,CABIN0D,53
KL,661,19-2-2024,789,AMS,IAH,CABIN0D,69
KL,879,22-1-2024,789,AMS,BLR,CABIN0E,54
KL,661,16-1-2024,789,AMS,IAH,CABIN0C,52
KL,661,21-1-2024,789,AMS,IAH,CABIN0D,69
KL,661,11/1/2024,789,AMS,IAH,CABIN0C,60
KL,661,27-1-2024,789,AMS,IAH,CABIN0A,30
KL,661,2/2/2024,789,AMS,IAH,CABIN0C,21
KL,661,12/2/2024,789,AMS,IAH,CABIN0D,50
KL,879,26-2-2024,789,AMS,BLR,CABIN0B,29
KL,661,30-1-2024,789,AMS,IAH,CABIN0A,27
