Airline,FlightNumber,LocalDepartureDate,AircraftType,DepartureAirport,SegmentArrivalAirport,CenterOfGravityCabin,PassengerCount
KL,835,2024-03-06,772,AMS,SIN,CABIN0C,52
KL,835,2024-03-06,772,AMS,SIN,CABIN0B,17
KL,835,2024-03-06,772,AMS,SIN,CABIN0E,17
KL,835,2024-03-06,772,AMS,SIN,CABIN0D,28
KL,835,2024-03-06,772,AMS,SIN,JUMPSEAT,4
KL,835,2024-03-06,772,AMS,SIN,CABIN0A,24
