Airline,FlightNumber,LocalDepartureDate,AircraftType,DepartureAirport,SegmentArrivalAirport,CenterOfGravityCabin,PassengerCount
KL,879,2024-01-15,789,AMS,BLR,CABIN0A,30
KL,879,2024-01-15,789,AMS,BLR,CABIN0E,59
KL,879,2024-01-15,789,AMS,BLR,CABIN0C,70
KL,879,2024-01-15,789,AMS,BLR,CABIN0B,35
KL,879,2024-01-15,789,AMS,BLR,CABIN0D,67
