Airline,FlightNumber,LocalDepartureDate,AircraftType,DepartureAirport,SegmentArrivalAirport,CenterOfGravityCabin,PassengerCount
KL,601,2024-03-02,781,AMS,LAX,CABIN0D,79
KL,601,2024-03-02,781,AMS,LAX,CABIN0A,45
KL,601,2024-03-02,781,AMS,LAX,CABIN0B,46
KL,601,2024-03-02,781,AMS,LAX,CABIN0C,69
KL,601,2024-03-02,781,AMS,LAX,CABIN0E,74
