FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-01-05|AMS|KL|0879||2024-01-05|D|152399470|160010536,2024-01-05|KL|0879||AMS,ACTIVE,AMS,BLR,149,KG,B,T,8.0,ULD,AKE96319KL,492.0,57.0,16-2-2024 17:02:55,AFT,43R,L,152399470,160010536,,
2024-01-05|AMS|KL|0879||2024-01-05|D|152399470|160037724,2024-01-05|KL|0879||AMS,ACTIVE,AMS,BLR,52,KG,B,F,3.0,ULD,AKE96319KL,492.0,57.0,16-2-2024 17:02:55,AFT,43R,L,152399470,160037724,,
2024-01-05|AMS|KL|0879||2024-01-05|D|152399470|160037725,2024-01-05|KL|0879||AMS,ACTIVE,AMS,BLR,234,KG,B,Y,13.0,ULD,AKE96319KL,492.0,57.0,16-2-2024 17:02:55,AFT,43R,L,152399470,160037725,,
2024-01-05|AMS|KL|0879||2024-01-05|D|152399471|160037726,2024-01-05|KL|0879||AMS,ACTIVE,AMS,BLR,792,KG,B,Y,44.0,ULD,AKE95953KL,849.0,57.0,16-2-2024 17:02:55,AFT,41L,L,152399471,160037726,,
2024-01-05|AMS|KL|0879||2024-01-05|D|152399472|160010538,2024-01-05|KL|0879||AMS,ACTIVE,AMS,BLR,333,KG,B,F,19.0,ULD,AKE94715KL,625.0,57.0,16-2-2024 17:02:55,AFT,42L,L,152399472,160010538,,
2024-01-05|AMS|KL|0879||2024-01-05|D|152399472|160037727,2024-01-05|KL|0879||AMS,ACTIVE,AMS,BLR,37,KG,B,T,2.0,ULD,AKE94715KL,625.0,57.0,16-2-2024 17:02:55,AFT,42L,L,152399472,160037727,,
2024-01-05|AMS|KL|0879||2024-01-05|D|152399472|160037728,2024-01-05|KL|0879||AMS,ACTIVE,AMS,BLR,198,KG,B,Y,11.0,ULD,AKE94715KL,625.0,57.0,16-2-2024 17:02:55,AFT,42L,L,152399472,160037728,,
2024-01-05|AMS|KL|0879||2024-01-05|D|152399473|160010540,2024-01-05|KL|0879||AMS,ACTIVE,AMS,BLR,684,KG,B,Y,38.0,ULD,AKE98223KL,761.0,57.0,16-2-2024 17:02:55,AFT,32R,L,152399473,160010540,,
2024-01-05|AMS|KL|0879||2024-01-05|D|152399473|160037729,2024-01-05|KL|0879||AMS,ACTIVE,AMS,BLR,20,KG,B,B,1.0,ULD,AKE98223KL,761.0,57.0,16-2-2024 17:02:55,AFT,32R,L,152399473,160037729,,
2024-01-05|AMS|KL|0879||2024-01-05|D|152399474|160010541,2024-01-05|KL|0879||AMS,ACTIVE,AMS,BLR,180,KG,B,Y,10.0,ULD,AKE70056KL,684.0,57.0,16-2-2024 17:02:55,AFT,33L,L,152399474,160010541,,
