FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-03-30|AMS|KL|0835||2024-03-30|D|155863569|163701454,2024-03-30|KL|0835||AMS,ACTIVE,AMS,DPS,265,KG,B,F,14.0,ULD,AKE95564KL,595.0,57.0,31-3-2024 04:27:23,AFT,41L,L,155863569,163701454,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155863569|163701456,2024-03-30|KL|0835||AMS,ACTIVE,AMS,DPS,255,KG,B,Y,15.0,ULD,AKE95564KL,595.0,57.0,31-3-2024 04:27:23,AFT,41L,L,155863569,163701456,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155863569|163701458,2024-03-30|KL|0835||AMS,ACTIVE,AMS,DPS,18,KG,B,B,1.0,ULD,AKE95564KL,595.0,57.0,31-3-2024 04:27:23,AFT,41L,L,155863569,163701458,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155868215|163696453,2024-03-30|KL|0835||AMS,ACTIVE,AMS,SIN,1,KG,C,,1.0,BLK,,,,1/4/2024 4:28,BLK,52,L,155868215,163696453,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155868216|163696454,2024-03-30|KL|0835||AMS,ACTIVE,AMS,SIN,9,KG,C,,,BLK,,,,1/4/2024 4:28,BLK,52,L,155868216,163696454,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155868218|163696456,2024-03-30|KL|0835||AMS,ACTIVE,AMS,SIN,480,KG,C,,,ULD,AKE70299KL,545.0,65.0,1/4/2024 4:28,AFT,32R,L,155868218,163696456,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155868219|163696457,2024-03-30|KL|0835||AMS,ACTIVE,AMS,SIN,480,KG,C,,,ULD,AKE70117KL,545.0,65.0,1/4/2024 4:28,AFT,31R,L,155868219,163696457,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155868220|163696458,2024-03-30|KL|0835||AMS,ACTIVE,AMS,SIN,308,KG,C,,,ULD,AKE95565KL,365.0,57.0,1/4/2024 4:28,FWD,12L,L,155868220,163696458,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155868221|163696459,2024-03-30|KL|0835||AMS,ACTIVE,AMS,SIN,393,KG,C,,,ULD,AKE98073KL,450.0,57.0,31-3-2024 04:27:23,FWD,12R,L,155868221,163696459,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155868222|163696460,2024-03-30|KL|0835||AMS,ACTIVE,AMS,SIN,648,KG,C,,,ULD,AKE96426KL,705.0,57.0,1/4/2024 4:28,AFT,31L,L,155868222,163696460,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155868223|163696461,2024-03-30|KL|0835||AMS,ACTIVE,AMS,SIN,2725,KG,C,,,ULD,PMC21614MP,2850.0,125.0,1/4/2024 4:28,FWD,24P,L,155868223,163696461,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155868224|163696462,2024-03-30|KL|0835||AMS,ACTIVE,AMS,SIN,2510,KG,C,,,ULD,PMC73943AF,2620.0,110.0,1/4/2024 4:28,FWD,23P,L,155868224,163696462,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155868225|163696463,2024-03-30|KL|0835||AMS,ACTIVE,AMS,SIN,1110,KG,C,,,ULD,PMC75235AF,1220.0,110.0,1/4/2024 4:28,FWD,13P,L,155868225,163696463,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155868226|163696464,2024-03-30|KL|0835||AMS,ACTIVE,AMS,SIN,2290,KG,C,,,ULD,PMC25183KL,2415.0,125.0,1/4/2024 4:28,FWD,22P,L,155868226,163696464,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155868227|163696465,2024-03-30|KL|0835||AMS,ACTIVE,AMS,SIN,915,KG,C,,,ULD,PMC68703AF,1025.0,110.0,1/4/2024 4:28,FWD,11P,L,155868227,163696465,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155868228|163696466,2024-03-30|KL|0835||AMS,ACTIVE,AMS,SIN,1800,KG,C,,,ULD,PMC75092AF,1910.0,110.0,31-3-2024 04:27:23,AFT,41P,L,155868228,163696466,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155868229|163696467,2024-03-30|KL|0835||AMS,ACTIVE,AMS,SIN,1915,KG,C,,,ULD,PMC32764KL,2040.0,125.0,31-3-2024 04:27:23,FWD,21P,L,155868229,163696467,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155868230|163696468,2024-03-30|KL|0835||AMS,ACTIVE,AMS,SIN,3924,KG,C,,,ULD,PMC69217AF,4034.0,110.0,1/4/2024 4:28,FWD,25P,L,155868230,163696468,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155868231|163696469,2024-03-30|KL|0835||AMS,ACTIVE,AMS,SIN,4469,KG,C,,,ULD,PMC68836AF,4579.0,110.0,1/4/2024 4:28,AFT,42P,L,155868231,163696469,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155870772|163699082,2024-03-30|KL|0835||AMS,ACTIVE,AMS,SIN,35,KG,C,,,BLK,,,,1/4/2024 4:28,BLK,52,L,155870772,163699082,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155870774|163701452,2024-03-30|KL|0835||AMS,ACTIVE,AMS,SIN,192,KG,B,F,10.0,ULD,AKE95596KL,408.0,57.0,31-3-2024 04:27:23,AFT,36R,L,155870774,163701452,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155870774|163701453,2024-03-30|KL|0835||AMS,ACTIVE,AMS,SIN,159,KG,B,Y,9.0,ULD,AKE95596KL,408.0,57.0,31-3-2024 04:27:23,AFT,36R,L,155870774,163701453,,
