aircraft_type,flight_count,avg_items,avg_weight,avg_volume,avg_passengers,avg_ulds,avg_col_items,avg_crt_items,total_items_ci_lower,total_items_ci_upper,total_weight_ci_lower,total_weight_ci_upper,total_volume_ci_lower,total_volume_ci_upper,passenger_count_ci_lower,passenger_count_ci_upper,uld_count_ci_lower,uld_count_ci_upper
789,71,77.8169014084507,0.0,0.0,218.19718309859155,30.943661971830984,1.267605633802817,0.23943661971830985,69.06,86.57,,,,,208.37,228.02,30.07,31.82
772,143,61.18181818181818,0.0,0.0,269.3356643356643,35.75524475524475,3.7762237762237763,1.055944055944056,56.42,65.95,,,,,259.92,278.75,34.35,37.16
781,174,46.166666666666664,0.0,0.0,284.2931034482759,37.206896551724135,4.810344827586207,0.6839080459770115,42.45,49.88,,,,,278.75,289.84,35.39,39.02
77W,137,90.93430656934306,0.0,0.0,268.94160583941607,50.74452554744526,5.62043795620438,2.153284671532847,79.14,102.73,,,,,255.88,282.0,47.73,53.76
