route,month,flight_count,directory_path
AMSICN,MAR 2024,26,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSICN MAR 2024
AMSSFO,JAN 2024,20,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSSFO JAN 2024
AMSELP,MAR 2024,0,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSELP MAR 2024
AMSSFO,FEB 2024,20,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSSFO FEB 2024
AMSLAX,MAR 2024,31,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSLAX MAR 2024
AMSSIN,APR 2024,1,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSSIN APR 2024
AMSIAH,APR 2024,0,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSIAH APR 2024
AMSELP,FEB 2024,0,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSELP FEB 2024
SINDPS,APR 2024,0,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights SINDPS APR 2024
AMSLAX,JAN 2024,29,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSLAX JAN 2024
AMSDEL,APR 2024,1,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSDEL APR 2024
AMSICN,FEB 2024,25,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSICN FEB 2024
AMSLRD,APR 2024,0,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSLRD APR 2024
AMSDPS,APR 2024,0,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSDPS APR 2024
AMSSFO,MAR 2024,22,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSSFO MAR 2024
AMSICN,JAN 2024,12,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSICN JAN 2024
AMSLAX,FEB 2024,27,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSLAX FEB 2024
