month,flight_count,avg_items,avg_weight,avg_volume,avg_passengers,avg_ulds,avg_col_items,avg_crt_items,total_items_ci_lower,total_items_ci_upper,total_weight_ci_lower,total_weight_ci_upper,total_volume_ci_lower,total_volume_ci_upper,passenger_count_ci_lower,passenger_count_ci_upper,uld_count_ci_lower,uld_count_ci_upper
FEB 2024,169,71.11242603550296,0.0,0.0,262.1656804733728,37.76923076923077,4.272189349112426,1.0710059171597632,61.71,80.51,,,,,252.61,271.72,35.72,39.82
MAR 2024,183,72.34426229508196,0.0,0.0,268.21311475409834,41.2896174863388,4.8743169398907105,1.278688524590164,66.94,77.75,,,,,259.65,276.78,38.84,43.74
JAN 2024,167,55.5748502994012,0.0,0.0,270.77245508982037,39.23353293413174,3.6706586826347305,0.9341317365269461,49.99,61.15,,,,,262.1,279.44,37.48,40.99
APR 2024,6,37.833333333333336,0.0,0.0,285.1666666666667,40.833333333333336,1.6666666666666667,1.8333333333333333,23.44,52.23,,,,,222.03,348.3,32.51,49.16
