FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-01-01|AMS|KL|0871||2024-01-01|D|152234504|159834899,2024-01-01|KL|0871||AMS,ACTIVE,AMS,DEL,484,KG,B,F,25.0,ULD,AKE95198KL,541.0,57.0,16-2-2024 17:02:55,AFT,42L,L,152234504,159834899,,
2024-01-01|AMS|KL|0871||2024-01-01|D|152234506|159834901,2024-01-01|KL|0871||AMS,ACTIVE,AMS,DEL,46,KG,B,B,2.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,152234506,159834901,,
2024-01-01|AMS|KL|0871||2024-01-01|D|152234507|159834902,2024-01-01|KL|0871||AMS,ACTIVE,AMS,DEL,0,KG,B,T,0.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,152234507,159834902,,
2024-01-01|AMS|KL|0871||2024-01-01|D|152234508|159834903,2024-01-01|KL|0871||AMS,ACTIVE,AMS,DEL,0,KG,B,F,0.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,152234508,159834903,,
2024-01-01|AMS|KL|0871||2024-01-01|D|152234509|159834904,2024-01-01|KL|0871||AMS,ACTIVE,AMS,DEL,86,KG,B,Y,4.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,152234509,159834904,,
2024-01-01|AMS|KL|0871||2024-01-01|D|152247079|159862106,2024-01-01|KL|0871||AMS,ACTIVE,AMS,DEL,667,KG,B,Y,34.0,ULD,AKE96116KL,724.0,57.0,16-2-2024 17:02:55,AFT,34R,L,152247079,159862106,,
2024-01-01|AMS|KL|0871||2024-01-01|D|152247081|159862107,2024-01-01|KL|0871||AMS,ACTIVE,AMS,DEL,569,KG,B,Y,29.0,ULD,AKE96696KL,626.0,57.0,16-2-2024 17:02:55,AFT,41L,L,152247081,159862107,,
2024-01-01|AMS|KL|0871||2024-01-01|D|152247082|159862100,2024-01-01|KL|0871||AMS,ACTIVE,AMS,DEL,706,KG,B,Y,36.0,ULD,AKE95863KL,763.0,57.0,16-2-2024 17:02:55,AFT,33L,L,152247082,159862100,,
2024-01-01|AMS|KL|0871||2024-01-01|D|152247083|159862103,2024-01-01|KL|0871||AMS,ACTIVE,AMS,DEL,100,KG,B,T,5.0,ULD,AKE96497KL,563.0,57.0,16-2-2024 17:02:55,AFT,34L,L,152247083,159862103,,
2024-01-01|AMS|KL|0871||2024-01-01|D|152247083|159862104,2024-01-01|KL|0871||AMS,ACTIVE,AMS,DEL,58,KG,B,Y,3.0,ULD,AKE96497KL,563.0,57.0,16-2-2024 17:02:55,AFT,34L,L,152247083,159862104,,
2024-01-01|AMS|KL|0871||2024-01-01|D|152247083|159862105,2024-01-01|KL|0871||AMS,ACTIVE,AMS,DEL,348,KG,B,F,18.0,ULD,AKE96497KL,563.0,57.0,16-2-2024 17:02:55,AFT,34L,L,152247083,159862105,,
2024-01-01|AMS|KL|0871||2024-01-01|D|152251024|159852127,2024-01-01|KL|0871||AMS,ACTIVE,AMS,DEL,108,KG,B,G,6.0,BLK,,,,16-2-2024 17:02:55,BLK,51,L,152251024,159852127,,
2024-01-01|AMS|KL|0871||2024-01-01|D|152253708|159855114,2024-01-01|KL|0871||AMS,ACTIVE,AMS,DEL,895,KG,C,,,ULD,PMC72345AF,1005.0,110.0,16-2-2024 17:02:55,FWD,11P,L,152253708,159855114,,
2024-01-01|AMS|KL|0871||2024-01-01|D|152254483|159855997,2024-01-01|KL|0871||AMS,ACTIVE,AMS,DEL,0,KG,X,,,ULD,AKE70058KL,57.0,57.0,16-2-2024 17:02:55,FWD,15R,L,152254483,159855997,,
2024-01-01|AMS|KL|0871||2024-01-01|D|152254484|159855998,2024-01-01|KL|0871||AMS,ACTIVE,AMS,DEL,0,KG,X,,,ULD,AKE95674KL,57.0,57.0,16-2-2024 17:02:55,FWD,15L,L,152254484,159855998,,
2024-01-01|AMS|KL|0871||2024-01-01|D|152254485|159855999,2024-01-01|KL|0871||AMS,ACTIVE,AMS,DEL,0,KG,X,,,ULD,AKE95148KL,57.0,57.0,16-2-2024 17:02:55,FWD,21L,L,152254485,159855999,,
2024-01-01|AMS|KL|0871||2024-01-01|D|152254486|159856000,2024-01-01|KL|0871||AMS,ACTIVE,AMS,DEL,0,KG,X,,,ULD,AKE98005KL,57.0,57.0,16-2-2024 17:02:55,FWD,14L,L,152254486,159856000,,
2024-01-01|AMS|KL|0871||2024-01-01|D|152254487|159856001,2024-01-01|KL|0871||AMS,ACTIVE,AMS,DEL,0,KG,X,,,ULD,AKE96247KL,57.0,57.0,16-2-2024 17:02:55,FWD,21R,L,152254487,159856001,,
2024-01-01|AMS|KL|0871||2024-01-01|D|152257885|159859676,2024-01-01|KL|0871||AMS,ACTIVE,AMS,DEL,0,KG,X,,,ULD,AKE94870KL,57.0,57.0,16-2-2024 17:02:55,FWD,14R,L,152257885,159859676,,
2024-01-01|AMS|KL|0871||2024-01-01|D|152257993|159859792,2024-01-01|KL|0871||AMS,ACTIVE,AMS,DEL,549,KG,B,Y,28.0,ULD,AKE97009KL,652.0,57.0,16-2-2024 17:02:55,FWD,13R,L,152257993,159859792,,
2024-01-01|AMS|KL|0871||2024-01-01|D|152257993|159859793,2024-01-01|KL|0871||AMS,ACTIVE,AMS,DEL,46,KG,B,B,2.0,ULD,AKE97009KL,652.0,57.0,16-2-2024 17:02:55,FWD,13R,L,152257993,159859793,,
