Airline,FlightNumber,LocalDepartureDate,AircraftType,DepartureAirport,SegmentArrivalAirport,CenterOfGravityCabin,PassengerCount
KL,855,2024-02-08,772,AMS,ICN,CABIN0A,18
KL,855,2024-02-08,772,AMS,ICN,CABIN0C,108
KL,855,2024-02-08,772,AMS,ICN,CABIN0E,69
KL,855,2024-02-08,772,AMS,ICN,CABIN0D,51
KL,855,2024-02-08,772,AMS,ICN,CABIN0B,37
