FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-01-15|AMS|KL|0879||2024-01-15|D|152833172|160472469,2024-01-15|KL|0879||AMS,ACTIVE,AMS,BLR,178,KG,C,,,ULD,AKE98053KL,235.0,57.0,16-2-2024 17:02:55,FWD,13L,L,152833172,160472469,,
2024-01-15|AMS|KL|0879||2024-01-15|D|152833173|160472470,2024-01-15|KL|0879||AMS,ACTIVE,AMS,BLR,248,KG,C,,,ULD,AKE95446KL,305.0,57.0,16-2-2024 17:02:55,FWD,12R,L,152833173,160472470,,
2024-01-15|AMS|KL|0879||2024-01-15|D|152833174|160472471,2024-01-15|KL|0879||AMS,ACTIVE,AMS,BLR,303,KG,C,,,ULD,AKE95718KL,360.0,57.0,16-2-2024 17:02:55,FWD,12L,L,152833174,160472471,,
2024-01-15|AMS|KL|0879||2024-01-15|D|152833175|160472472,2024-01-15|KL|0879||AMS,ACTIVE,AMS,BLR,1350,KG,C,,,ULD,PMC33170KL,1475.0,125.0,16-2-2024 17:02:55,FWD,21P,L,152833175,160472472,,
2024-01-15|AMS|KL|0879||2024-01-15|D|152833176|160472473,2024-01-15|KL|0879||AMS,ACTIVE,AMS,BLR,2760,KG,C,,,ULD,PMC22635KL,2885.0,125.0,16-2-2024 17:02:55,FWD,23P,L,152833176,160472473,,
2024-01-15|AMS|KL|0879||2024-01-15|D|152833177|160472474,2024-01-15|KL|0879||AMS,ACTIVE,AMS,BLR,2895,KG,C,,,ULD,PMC71738AF,3005.0,110.0,16-2-2024 17:02:55,AFT,31P,L,152833177,160472474,,
2024-01-15|AMS|KL|0879||2024-01-15|D|152833178|160472475,2024-01-15|KL|0879||AMS,ACTIVE,AMS,BLR,1486,KG,C,,,ULD,PAG12668AF,1590.0,104.0,16-2-2024 17:02:55,FWD,22P,L,152833178,160472475,,
2024-01-15|AMS|KL|0879||2024-01-15|D|152833179|160472476,2024-01-15|KL|0879||AMS,ACTIVE,AMS,BLR,940,KG,C,,,ULD,PMC76401AF,1050.0,110.0,16-2-2024 17:02:55,FWD,13P,L,152833179,160472476,,
2024-01-15|AMS|KL|0879||2024-01-15|D|152833180|160472477,2024-01-15|KL|0879||AMS,ACTIVE,AMS,BLR,3821,KG,C,,,ULD,PAG10712AF,3925.0,104.0,16-2-2024 17:02:55,AFT,32P,L,152833180,160472477,,
2024-01-15|AMS|KL|0879||2024-01-15|D|152833416|160477972,2024-01-15|KL|0879||AMS,ACTIVE,AMS,BLR,696,KG,B,Y,38.0,ULD,AKE96582KL,753.0,57.0,16-2-2024 17:02:55,AFT,34L,L,152833416,160477972,,
2024-01-15|AMS|KL|0879||2024-01-15|D|152833417|160478603,2024-01-15|KL|0879||AMS,ACTIVE,AMS,BLR,169,KG,B,F,9.0,ULD,AKE70087KL,226.0,57.0,16-2-2024 17:02:55,AFT,42L,L,152833417,160478603,,
2024-01-15|AMS|KL|0879||2024-01-15|D|152833670|160472986,2024-01-15|KL|0879||AMS,ACTIVE,AMS,BLR,0,KG,X,,,ULD,AKE95001KL,57.0,57.0,16-2-2024 17:02:55,FWD,11L,L,152833670,160472986,,
2024-01-15|AMS|KL|0879||2024-01-15|D|152833671|160472987,2024-01-15|KL|0879||AMS,ACTIVE,AMS,BLR,0,KG,X,,,ULD,AKE94551KL,57.0,57.0,16-2-2024 17:02:55,FWD,11R,L,152833671,160472987,,
