Airline,FlightNumber,LocalDepartureDate,AircraftType,DepartureAirport,SegmentArrivalAirport,CenterOfGravityCabin,PassengerCount
KL,855,2024-03-13,772,AMS,ICN,CABIN0E,74
KL,855,2024-03-13,772,AMS,ICN,CABIN0D,56
KL,855,2024-03-13,772,AMS,ICN,CABIN0B,35
KL,855,2024-03-13,772,AMS,ICN,CABIN0A,32
KL,855,2024-03-13,772,AMS,ICN,CABIN0C,108
