Airline,FlightNumber,LocalDepartureDate,AircraftType,DepartureAirport,SegmentArrivalAirport,CenterOfGravityCabin,PassengerCount
KL,879,2024-03-24,789,AMS,BLR,CABIN0D,72
KL,879,2024-03-24,789,AMS,BLR,CABIN0E,61
KL,879,2024-03-24,789,AMS,BLR,CABIN0A,30
KL,879,2024-03-24,789,AMS,BLR,CABIN0B,33
KL,879,2024-03-24,789,AMS,BLR,CABIN0C,60
